page,book,year,status,ours_chars,calfa_chars,length_ratio,cer,page_script
EAP180-1-3-87_029L.jpg,EAP180-1-3-87,1861,ok,1594,887,0.5565,0.4787,armenian
EAP180-1-3-87_029R.jpg,EAP180-1-3-87,1861,ok,1621,346,0.2134,0.7995,armenian
EAP180-1-3-87_030L.jpg,EAP180-1-3-87,1861,ok,1612,424,0.2630,0.7711,armenian
EAP180-1-3-87_030R.jpg,EAP180-1-3-87,1861,ok,1486,724,0.4872,0.5538,armenian
EAP180-1-3-87_031L.jpg,EAP180-1-3-87,1861,ok,1222,398,0.3257,0.6858,armenian
EAP180-1-3-87_031R.jpg,EAP180-1-3-87,1861,ok,1559,1116,0.7158,0.3951,armenian
EAP180-1-3-87_032L.jpg,EAP180-1-3-87,1861,ok,1563,1478,0.9456,0.0742,armenian
EAP180-1-3-87_032R.jpg,EAP180-1-3-87,1861,ok,1538,1356,0.8817,0.2094,armenian
EAP180-1-3-87_033L.jpg,EAP180-1-3-87,1861,ok,1582,1306,0.8255,0.1985,armenian
EAP180-1-3-87_033R.jpg,EAP180-1-3-87,1861,ok,1537,1123,0.7306,0.3787,armenian
EAP180-1-3-87_034L.jpg,EAP180-1-3-87,1861,ok,1585,1333,0.8410,0.1918,armenian
EAP180-1-3-87_034R.jpg,EAP180-1-3-87,1861,ok,1591,1453,0.9133,0.2923,armenian
EAP180-1-3-87_035L.jpg,EAP180-1-3-87,1861,ok,1564,1391,0.8894,0.1285,armenian
EAP180-1-3-87_035R.jpg,EAP180-1-3-87,1861,ok,1618,815,0.5037,0.5964,armenian
EAP180-1-3-87_036L.jpg,EAP180-1-3-87,1861,ok,1551,1261,0.8130,0.2108,armenian
EAP180-1-3-87_036R.jpg,EAP180-1-3-87,1861,ok,1601,1452,0.9069,0.2036,armenian
EAP180-1-3-87_037L.jpg,EAP180-1-3-87,1861,ok,1231,1120,0.9098,0.1056,armenian
EAP180-1-3-87_037R.jpg,EAP180-1-3-87,1861,ok,1607,1427,0.8880,0.3460,armenian
EAP180-1-3-87_038L.jpg,EAP180-1-3-87,1861,ok,1564,1335,0.8536,0.3817,armenian
EAP180-1-3-87_038R.jpg,EAP180-1-3-87,1861,ok,1603,1286,0.8022,0.3306,armenian
