headword_as_printed	expanded_form	pos	glosses	source_page	scan_url	bucket
Խալամովին		ad.	with the head.	dict-303.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խալարակալք		s.	ornaments on freizes or capitals. [or buildings.; ornaments on freizes or capitals.	dict-303.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խալիղոն		s.	snail; suit of rooms; snail: suit of rooms or buildings.	dict-303.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խակախորհութի	Խակախորհութիւն	s.	immature judgment, puerility.	dict-303.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խահարարուհի		sf.	cook; cook-maid.	dict-303.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խաղակատակ				dict-304.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf150.jpg	body
Խաղաւալեզու		a.	guttural; rough, harsh, hard, unpleasing, grating to the ear (language); guttural, rough, harsh, hard, unpleasing, grating to the ear (language).	dict-306.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf151.jpg	body
Խաղեմ				dict-333.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf164.jpg	body
Խաղետղ		s.	play-ground; tennis court	dict-306.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf151.jpg	body
Խամուժ		s.	traces, (harness).	dict-306.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf151.jpg	body
Խայծուտ		a.	spotted, speckled.	dict-306.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf151.jpg	body
Խայտասպիտակ		S.		dict-306.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf151.jpg	body
Խանամք		s.	trace, footstep;	dict-307.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf151.jpg	body
Խանձիք		s.	odour of burning, of smoke.	dict-308.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf152.jpg	body
Խաչալուաց առնեմ			to bless water by immersing a crucifix.	dict-308.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf152.jpg	body
Խաչելութի	Խաչելութիւն	s.	crucifixion; crucifix.	dict-309.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf152.jpg	body
Խաչօրհնէք		s.	benediction of the Holy Cross.	dict-309.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf152.jpg	body
Խառնախուց խրտիլք		s.	house of ill-fame.	dict-309.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf152.jpg	body
Խառնաղանճ ou -ղանջ		s.	the mass, the common herd, the multitude, the rabble, the mob; low, vulgar, plebeian	dict-309.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf152.jpg	body
Խառնամաղ կոշտք		s.	siftings.	dict-309.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf152.jpg	body
Խառնչեմ		vn.	to bray; to growl.; to bray; to growl.	dict-310.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf153.jpg	body
Խատեակ		s.	fine strong	dict-310.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf153.jpg	body
Խատուիճ		s.	wooden mould for pastry.	dict-310.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf153.jpg	body
Խարաբուղ		s.	cooper's adze; plane.	dict-310.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf153.jpg	body
Խարազանաբախութի	Խարազանաբախութիւն	s.	s. scourging, flagellation, discipline.	dict-310.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf153.jpg	body
Խարաշն		a.	a. rude, coarse, rough, of	dict-310.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf153.jpg	body
Խաւարասենեակ		s.	camera obscura.	dict-312.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf154.jpg	body
Խաւիծ		s.	hasty-pudding.	dict-313.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf154.jpg	body
Խափարական			S. Խաղտաւուր.	dict-313.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf154.jpg	body
Մամխի, խեաց		s.	sloe-bush; bullace-tree; wild plum-tree.; sloe-bush, bullace-tree, wild plum-tree.	dict-483.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf239.jpg	body
Խեթութիւն		s.	remorse, compunction.	dict-313.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf154.jpg	body
Խելայեղուի				dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խելատար, Խելար				dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
Խելատար, Խելար				dict-314.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf155.jpg	body
